,,,,,,,
ISO 9001:2015 CERTIFIED,,,,,,,
CUSTOMS AND BORDER CONTROL DEPARTMENT,,,,,,,
MODEL,Engine Capacity,Body Type ,Drive configuration,seating,Fuel,GVW,CRSP(KES) 
ALFA ROMEO,,,,,,,
,,,,,,,
F-Type Supercharged Coupe Auto 380ps,3000,SALOON,2WD,,Petrol,,"18,234,088"
F-Type Supercharged Coupe Auto 380ps R-Dynamic,3000,SALOON,2WD,,Petrol,,"18,914,525"
F-Type Supercharged Coupe Auto 380ps,3000,SALOON,4WD,,Petrol,,"19,626,784"
F-Type Supercharged Coupe Auto 380ps R-Dynamic,3000,SALOON,4WD,,Petrol,,"20,307,221"
F-Type Supercharged Convertible Auto 400ps 400 Sport,3000,SALOON,2WD,,Petrol,,"23,141,791"
F-Type Supercharged Convertible Auto 400ps 400 Sport,3000,SALOON,4WD,,Petrol,,"24,468,365"
F-Type Supercharged Convertible Auto 550ps 400 R,5000,SALOON,4WD,,Petrol,,"28,840,686"
F-Type Supercharged Convertible Auto 575ps 400 SVR,5000,SALOON,4WD,,Petrol,,"32,819,994"
F-Type Supercharged Coupe Auto 400ps 400 Sport,3000,SALOON,2WD,,Petrol,,"21,749,095"
F-Type Supercharged Coupe Auto 400ps 400 Sport,3000,SALOON,4WD,,Petrol,,"23,075,566"
F-Type Supercharged Coupe Auto 550ps 400 R,5000,SALOON,4WD,,Petrol,,"27,447,990"
F-Type S/C Coupe Auto 57Sps 400 SVR,5000,SALOON,4WD,,Petrol,,"31,427,195"
F-Type V8S,5000,SALOON,2WD,,Petrol,,"20,470,649"
XE 2.0L T/C 180ps Diesel RWD 4 Door Auto S,2000,SALOON,2WD,,Diesel,,"8,220,886"
XE 2.0L T/C 180ps Diesel RWD 4 Door Auto SE,2000,SALOON,2WD,,Diesel,,"8,645,311"
XE 2.0L T/C 250ps Petrol RWD 4 Door Auto S,2000,SALOON,2WD,,Petrol,,"8,929,307"
XE 2.0L T/C 250ps Petrol RWD 4 Door Auto SE,2000,SALOON,2WD,,Petrol,,"9,353,974"
XF 2.0L T/C 180ps Diesel RWD 4 Door Auto Prestige,2000,SALOON,2WD,,Diesel,,"9,458,934"
XF 2.0L T/C 180ps Diesel RWD 4 Door Auto R Sport,2000,SALOON,2WD,,Diesel,,"10,192,692"
XF 2.0L T/C 180ps Diesel RWD 4 Door Auto Chequered Flag,2000,SALOON,2WD,,Diesel,,"10,879,639"
XF 2.0L T/C 250ps Petrol RWD 4 Door Auto Prestige,2000,SALOON,2WD,,Petrol,,"10,127,544"
XF 2.0L T/C 250ps Petrol RWD 4 Door Auto R Sport,2000,SALOON,2WD,,Petrol,,"10,860,095"
XF 2.0L T/C 250ps Petrol RWD 4 Door Auto Chequered Flag,2000,SALOON,2WD,,Petrol,,"11,547,282"
XF 2.0L T/C 250ps Petrol RWD 4 Door Auto Portfolio,2000,SALOON,2WD,,Petrol,,"11,266,665"
XJ 5.0L T/C 300ps Petrol RWD 4 Door LWB Autobiography,5000,SALOON,2WD,,Petrol,,"27,719,240"
XJ 3.0L T/C 300ps Diesel RWD 4 Door XJ50,3000,SALOON,2WD,,Diesel,,"19,113,733"
XJ 3.0L T/C 300ps Diesel RWD 4 Door LWB XJ50,3000,SALOON,2WD,,Diesel,,"20,979,656"
F-PACE 2.0L T/C 180ps Diesel AWD 5 Door Auto Pure,2000,S/WAGON,4WD,,Diesel,,"10,206,927"
F-PACE 2.0L T/C 180ps Diesel AWD 5 Door Auto Chequered Flag,2000,S/WAGON,4WD,,Petrol,,"11,887,740"
F-PACE 2.0L T/C 250ps Petrol AWD 5 Door Auto Pure,2000,S/WAGON,4WD,,Petrol,,"11,164,358"
F-PACE 2.0L T/C 250ps Petrol AWD 5 Door Auto R Sport,2000,S/WAGON,4WD,,Petrol,,"12,003,558"
F-PACE 2.0L T/C 250ps Petrol AWD 5 Door Auto Chequered Flag,2000,S/WAGON,4WD,,Petrol,,"12,845,171"
F-PACE 2.0L T/C 300ps Petrol AWD 5 Door Auto Pure,2000,S/WAGON,4WD,,Petrol,,"11,775,782"
F-PACE 2.0L T/C 300ps Petrol AWD 5 Door Auto R Sport,2000,S/WAGON,4WD,,Petrol,,"12,614,740"
F-PACE 2.0L T/C 300ps Petrol AWD 5 Door Auto 300 Sport,2000,S/WAGON,4WD,,Petrol,,"13,832,281"
F-PACE 3.0L T/C 380ps Petrol AWD 5 Door Auto S,3000,S/WAGON,4WD,,Petrol,,"14,493,892"
F-PACE Auto R-Sport,2000,S/WAGON,4WD,,Petrol,,"12,044,546"
F-PACE Supercharged Auto S,3000,S/WAGON,4WD,,Petrol,,"14,821,363"
F-PACE Supercharged Auto SVR,5000,S/WAGON,4WD,,Petrol,,"19,298,963"
F-PACE 5.0L T/C 550ps Petrol AWD 5 Door Auto SVR,5000,S/WAGON,4WD,,Petrol,," 18,896,917 "
E-PACE 2.0L T/C 180ps Diesel AWD 5 Door Auto R Dynamic HSE,2000,S/WAGON,4WD,,Diesel,," 12,092,352 "
E-PACE 2.0L T/C 180ps Diesel AWD 5 Door Auto Chequered Flag,2000,S/WAGON,4WD,,Diesel,," 11,694,468 "
E-PACE 2.0L T/C 249ps Petrol AWD 5 Door Auto,2000,S/WAGON,4WD,,Petrol,," 10,279,796 "
E-PACE 2.0L T/C 249ps Petrol AWD 5 Door Auto S,2000,S/WAGON,4WD,,Petrol,," 11,150,122 "
E-PACE 2.0L T/C 249ps Petrol AWD 5 Door Auto R Dynamic S,2000,S/WAGON,4WD,,Petrol,," 11,614,602 "
E-PACE 2.0L T/C 249ps Petrol AWD 5 Door Auto R Dynamic SE,2000,S/WAGON,4WD,,Petrol,," 12,243,158 "
E-PACE 2.0L T/C 249ps Petrol AWD 5 Door Auto R Dynamic HSE,2000,S/WAGON,4WD,,Petrol,," 12,822,490 "
E-PACE 2.0L T/C 249ps Petrol AWD 5 Door Auto Chequered Flag,2000,S/WAGON,4WD,,Petrol,," 12,424,606 "
E-PACE Turbocharged Auto 150ps,2000,S/WAGON,4WD,,Diesel,,"8,463,520"
E-PACE Turbocharged Auto 150ps S,2000,S/WAGON,4WD,,Diesel,,"9,244,794"
E-PACE Turbocharged Auto 150ps SE,2000,S/WAGON,4WD,,Diesel,,"9,809,001"
E-PACE Turbocharged Auto 150ps HSE,2000,S/WAGON,4WD,,Diesel,,"10,351,615"
E-PACE Turbocharged Auto 150ps R- Dynamic,2000,S/WAGON,4WD,,Diesel,,"8,880,503"
E-PACE Turbocharged Auto 150ps R- Dynamic S,2000,S/WAGON,4WD,,Diesel,,"9,661,673"
E-PACE Turbocharged Auto 150ps R- Dynamic SE,2000,S/WAGON,4WD,,Diesel,,"10,225,880"
E-PACE Turbocharged Auto 150ps R- Dynamic HSE,2000,S/WAGON,4WD,,Diesel,,"10,768,184"
E-PACE Turbocharged Auto 180ps,2000,S/WAGON,4WD,,Diesel,,"8,840,933"
E-PACE Turbocharged Auto 180ps S,2000,S/WAGON,4WD,,Diesel,,"9,622,309"
E-PACE Turbocharged Auto 180ps SE,2000,S/WAGON,4WD,,Diesel,,"10,186,517"
E-PACE Turbocharged Auto 180ps HSE,2000,S/WAGON,4WD,,Diesel,,"10,729,027"
E-PACE Turbocharged Auto 180ps R- Dynamic,2000,S/WAGON,4WD,,Diesel,,"9,258,018"
E-PACE Turbocharged Auto 180ps R- Dynamic S,2000,S/WAGON,4WD,,Diesel,,"10,039,188"
E-PACE Turbocharged Auto 180ps R- Dynamic SE,2000,S/WAGON,4WD,,Diesel,,"11,145,906"
E-PACE Turbocharged Auto 180ps R- Dynamic HSE,2000,S/WAGON,4WD,,Diesel,,"11,145,906"
E-PACE Turbocharged Auto 200ps,2000,S/WAGON,4WD,,Petrol,,"8,993,117"
E-PACE Turbocharged Auto 200ps S,2000,S/WAGON,4WD,,Petrol,,"9,774,494"
E-PACE Turbocharged Auto 200ps SE,2000,S/WAGON,4WD,,Petrol,,"10,338,391"
E-PACE Turbocharged Auto 200ps HSE,2000,S/WAGON,4WD,,Petrol,,"10,881,005"
E-PACE Turbocharged Auto 200ps R- Dynamic,2000,S/WAGON,4WD,,Petrol,,"9,409,892"
E-PACE Turbocharged Auto 200ps R- Dynamic S,2000,S/WAGON,4WD,,Petrol,,"10,191,062"
E-PACE Turbocharged Auto 200ps R- Dynamic SE,2000,S/WAGON,4WD,,Petrol,,"10,755,270"
E-PACE Turbocharged Auto 200ps R- Dynamic HSE,2000,S/WAGON,4WD,,Petrol,,"11,297,780"
E-PACE Turbocharged Auto 240ps,2000,S/WAGON,4WD,,Petrol,,"9,496,574"
E-PACE Turbocharged Auto 240ps S,2000,S/WAGON,4WD,,Petrol,,"10,959,835"
E-PACE Turbocharged Auto 240ps SE,2000,S/WAGON,4WD,,Petrol,,"10,841,848"
E-PACE Turbocharged Auto 240ps HSE,2000,S/WAGON,4WD,,Petrol,,"11,384,462"
E-PACE Turbocharged Auto 240ps R- Dynamic,2000,S/WAGON,4WD,,Petrol,,"9,685,952"
E-PACE Turbocharged Auto 240ps R- Dynamic S,2000,S/WAGON,4WD,,Petrol,,"10,694,727"
E-PACE Turbocharged Auto 240ps R- Dynamic SE,2000,S/WAGON,4WD,,Petrol,,"11,258,727"
E-PACE Turbocharged Auto 240ps R- Dynamic HSE,2000,S/WAGON,4WD,,Petrol,,"11,801,238"
E-PACE Turbocharged Auto 300ps S,2000,S/WAGON,4WD,,Petrol,,"11,204,590"
E-PACE Turbocharged Auto 300ps SE,2000,S/WAGON,4WD,,Petrol,,"11,768,694"
E-PACE Turbocharged Auto 300ps HSE,2000,S/WAGON,4WD,,Petrol,,"12,311,308"
E-PACE Turbocharged Auto 300ps R- Dynamic S,2000,S/WAGON,4WD,,Petrol,,"11,621,365"
E-PACE Turbocharged Auto 300ps R- Dynamic SE,2000,S/WAGON,4WD,,Petrol,,"12,185,572"
E-PACE Turbocharged Auto 300ps R- Dynamic HSE,2000,S/WAGON,4WD,,Petrol,,"12,727,877"
XE Turbocharged Auto Prestige,2000,SALOON,2WD,,Diesel,,"8,239,222"
XE Turbocharged Auto Prestige,2000,SALOON,2WD,,Petrol,,"8,934,950"
XE Turbocharged Auto Portfolio,2000,SALOON,2WD,,Diesel,,"9,219,815"
XF 2.0i 4 Premium Luxury,2000,SALOON,2WD,,Petrol,,"7,315,822"
XF 2.2 Premium Luxury,2200,SALOON,2WD,,Diesel,,"7,315,822"
XF 3.0 DS Premium Luxury,3000,SALOON,2WD,,Diesel,,"9,106,303"
XF V6 Semi Luxury,3000,SALOON,2WD,,Petrol,,"7,368,454"
XF Turbocharged Auto Prestige,2000,SALOON,2WD,,Diesel,,"9,340,464"
XF Turbocharged Auto R-Sport,2000,SALOON,2WD,,Diesel,,"10,060,781"
XF Turbocharged Auto 250ps Prestige,2000,SALOON,2WD,,Petrol,,"9,997,036"
XF Turbocharged Auto 250ps R-Sport,2000,SALOON,2WD,,Petrol,,"10,716,216"
XF Turbocharged Auto 250ps Portfolio,2000,SALOON,2WD,,Petrol,,"11,115,325"
XFR V8 Supercharged,5000,SALOON,2WD,,Petrol,,"15,263,226"
XJ 5.0i Supercharged Ultimate,5000,SALOON,2WD,,Petrol,,"31,874,911"
XJ 5.0i Supercharged Supersport,5000,SALOON,2WD,,Petrol,,"23,891,928"
XJ 3.0i Supercharged Premium luxury,3000,SALOON,2WD,,Petrol,,"16,536,179"
XJ 2.0i 4 Luxury,2000,SALOON,2WD,,Petrol,,"11,473,735"
XJ T/C 300ps Luxury,3000,SALOON,2WD,,Diesel,,"15,891,921"
XJ 2.0i 4 Premium Luxury,2000,SALOON,2WD,,Petrol,,"13,157,953"
XJ T/C 300ps Premium Luxury,3000,SALOON,2WD,,Diesel,,"17,691,784"
XJ T/C S/C R-Sport,3000,SALOON,2WD,,Petrol,,"20,541,335"
XJ T/C 300ps LWB Premium Luxury,3000,SALOON,2WD,,Diesel,,"19,585,767"
XJ 5.0i NA Portfolio LWB,5000,SALOON,2WD,,Petrol,,"21,611,075"
XJ T/C Supercharged LWB Portfolio,3000,SALOON,2WD,,Petrol,,"22,199,552"
XJ T/C Supercharged  LWB Autobiography,5000,SALOON,2WD,,Petrol,,"26,519,389"
XJ T/C 300ps XJ50,3000,SALOON,2WD,,Diesel,,"18,380,486"
XJ T/C 300ps LWB XJ50,3000,SALOON,2WD,,Diesel,,"20,145,222"
XK coupe,5000,COUPE,2WD,,Petrol,,"19,387,244"
XKR Supercharged coupe,5000,COUPE,2WD,,Petrol,,"22,238,310"
F-PACE Turbocharged  Auto Pure,2000,S/WAGON,4WD,,Diesel,,"9,750,834"
F-PACE Turbocharged  Auto R-Sport,2000,S/WAGON,4WD,,Diesel,,"10,566,512"
F-PACE Turbocharged  Auto Pure,2000,S/WAGON,4WD,,Petrol,,"10,653,090"
F-PACE Turbocharged  Auto R-Sport,2000,S/WAGON,4WD,,Petrol,,"11,468,561"
F-PACE Auto Pure,2000,S/WAGON,4WD,,Petrol,,"11,229,076"
JEEP ,,,,,,,
,,,,,,,
Compass 2.0CVT,2000,S/WAGON,2WD,,Petrol,,"5,002,265"
Commander,3000,S/WAGON,4WD,,Diesel,,"7,118,526"
Cherokee KK SPORT 2 DOOR,2800,S/WAGON,4WD,,Diesel,,"7,154,581"
Cherokee KK LIMITED 4 DOOR,2800,S/WAGON,4WD,,Diesel,,"7,858,772"
Cherokee 2.8 SPORT 5 SPEED AUTO,2800,S/WAGON,4WD,,Diesel,,"5,206,169"
Grand Cherokee “Overland” 3.0L CRDI--5 Speed Manual/CRD-5Speed,2768,S/WAGON,4WD,,Diesel,,"4,878,185"
Grand Cherokee “Overland” 2.8L CRD LTD -5 Speed Auto,2768,S/WAGON,4WD,,Diesel,,"5,718,595"
Grand Cherokee “Summit” 3.0L CRD Auto,2987,S/WAGON,4WD,,Diesel,,"6,171,042"
Grand Cherokee “Overland” 3.0L CDI  6 Speed Manual,3000,S/WAGON,4WD,,Diesel,,"7,501,832"
Cherokee Limited 3.2,3200,S/WAGON,4WD,,Diesel,,"7,999,610"
Cherokee Trailhawk,3200,S/WAGON,4WD,,Diesel,,"8,731,969"
Cherokee 6.4L SRT8,6400,S/WAGON,4WD,,Diesel,,"14,647,174"
Compass Limited,2000,S/WAGON,2WD,,Diesel,,"4,887,868"
Grand Cherokee Limited 3.0,3000,S/WAGON,4WD,,Diesel,,"10,929,045"
Grand Cherokee Overland 3.0,3000,S/WAGON,4WD,,Diesel,,"11,717,739"
Grand Limited 3.6,3600,S/WAGON,4WD,,Diesel,,"9,576,998"
Grand Cheokee Limited 3.6,3600,S/WAGON,4WD,,Petrol,,"9,082,142"
Grand Overland 5.7,5700,S/WAGON,4WD,,Diesel,,"12,055,750"
Grand Overland,3600,S/WAGON,4WD,,Diesel,,"11,154,386"
Grand Cherokee Chrysler,4700,S/WAGON,4WD,,Petrol,,"7,650,332"
Wrangler SAHARA 2 Door CRDI,2768,S/WAGON,4WD,,Diesel,,"6,692,632"
Wrangler SAHARA 4 Door CRDI AUTO,2768,S/WAGON,4WD,,Diesel,,"7,379,923"
Wrangler UNLIMITED SAHARA AUTO,3600,S/WAGON,4WD,,Petrol,,"7,154,581"
Wrangler UNLIMITED SAHARA AUTO 2 DOOR,3600,S/WAGON,4WD,,Petrol,,"6,444,757"
Wrangler Rubicon 2 Door,3600,S/WAGON,4WD,,Petrol,,"7,391,189"
Wrangler Rubicon 4 Door,3600,S/WAGON,4WD,,Petrol,,"7,751,735"
Patriot,2350,S/WAGON,4WD,,Diesel,,"6,197,193"
Patriot,2000,S/WAGON,4WD,,Diesel,,"5,274,218"
KIA,,,,,,,
,,,,,,,
Cerato 1.6,1600,SALOON,2WD,,Diesel, ,"3,530,000"
forte k3,1600,SALOON,2WD,,Petrol,,"4,088,000"
K2700 Manual,2700,SCAB,2WD,,Diesel,3.3t,"2,650,000"
RIO AUTO,1200,SALOON,2WD,,Petrol,,"2,350,000"
RIO AUTO,1400,SALOON,2WD,,Petrol,,"2,950,000"
Sorento 2.5  M/T,2500,S/WAGON,4WD,,Diesel,,"5,950,000"
Sorento 2.4  A/T,2400,S/WAGON,4WD,,Petrol,,"6,250,000"
Sorento  2.2 A/T,2200,S/WAGON,4WD,,Diesel, ,"6,550,000"
Sportage 2.0 A/T,2000,S/WAGON,2WD,,Petrol,,"4,750,000"
Sportage ,2000,S/WAGON,4WD,,Petrol,,"5,030,000"
Sportage ,2400,S/WAGON,4WD,,Petrol,,"5,080,000"
Sportage ,2000,S/WAGON,4WD,,Diesel,,"5,225,000"
KIA K2700 ,2700,PU,2WD,,Diesel, ,"2,650,000"
SHUMA 1.6 LS,1594,SALOON,2WD,,Petrol,,"2,145,000"
CARENS,1794,S/WAGON,2WD,,Petrol,,"2,730,000"
Picanto 1.1L,1100,S/WAGON,2WD,,Petrol,,"1,605,000"
Carnival 2.7L,2700,S/WAGON,2WD,,Petrol,,"3,933,000"
Sedona LE KNEUP75,2902,S/WAGON,4WD,,Petrol,,"5,346,000"
SOUL AUTO,1600,S/WAGON,4WD,,Petrol,,"3,433,000"
LANDROVER,,,,,,,
,,,,,,,
Defender 90 Soft Top TD4 Manual,2200,S/WAGON,4WD,,Diesel,,"8,560,506"
Defender 90 Station Wagon TD4 Manual,2200,S/WAGON,4WD,,Diesel,,"8,768,133"
Defender 90 S/W Heritage,2200,S/WAGON,4WD,,Diesel,,"9,838,999"
Defender 90 S/W Adventure,2200,S/WAGON,4WD,,Diesel,,"11,107,553"
Defender 110 Soft Top TD4 Manual,2200,S/WAGON,4WD,,Diesel,,"8,537,414"
Defender 110 Hard Top,2200,S/WAGON,4WD,,Diesel,,"8,855,800"
Defender 110 Pick UP TD4 Manual,2200,PICK UP,4WD,,Diesel,,"8,537,414"
Defender 110 High Capacity Pick Up TD4 Manual,2200,PICK UP,4WD,,Diesel,,"8,791,124"
Defender 110 Station Wagon TD4 Manual,2200,S/WAGON,4WD,,Diesel,,"9,229,370"
Defender 110 Crew Cab Pick Up TD4 Manual,2200,D/DOUBLE  ,4WD,,Diesel,,"9,229,370"
Defender 110 S/W Heritage,2200,S/WAGON,4WD,,Diesel,,"10,761,575"
Defender 110 S/W Adventure,2200,S/WAGON,4WD,,Diesel,,"12,260,748"
Defender 130 Cab Chassis TD4 Manual,2200,S/WAGON,4WD,,Diesel,,"8,929,676"
Defender 130 Crew Cab High Capacity Pick Up TD4 Manual,2200,PICK UP,4WD,,Diesel,,"9,829,060"
Defender 110 TD4 FBU LTD EDITION,2400,S/WAGON,4WD,,Diesel,,"6,100,000"
Defender 110 TD4 FBU,2500,S/WAGON,4WD,,Diesel,,"5,200,000"
Defender 110 TD4/109 - FBU,2500,S/CAB,4WD,,Diesel,,"3,750,000"
Defender 130 TD4- SW(FBU) LTD EDITION,2400,S/WAGON,4WD,,Diesel,,"5,800,000"
Defender TD4 SafariWagon,2500,S/WAGON,4WD,,Diesel,,"4,500,000"
Defender TD4 GAMEVIEWER,2500,P/UP,4WD,,Diesel,,"4,200,000"
Defender 110 TDI - PU(FBU),2500,SCAB,4WD,,Diesel,,"3,850,000"
Defender 110 TDI - SW(FBU),2500,S/WAGON,4WD,,Diesel,,"4,700,000"
Defender 110 TDI - SafariWagon/Santana,2500,S/WAGON,4WD,,Diesel,,"4,135,000"
SANTANA PS10,2800,S/WAGON,4WD,,Diesel,,"5,005,308"
Defender 1997cc T/C Petrol AWD Auto 3 Door 300ps,2000,SUV,4WD,,Petrol,," 12,264,060 "
Defender 1997cc T/C Petrol AWD Auto 3 Door 300ps S,2000,SUV,4WD,,Petrol,," 13,252,474 "
Defender 1997cc T/C Petrol AWD Auto 3 Door 300ps SE,2000,SUV,4WD,,Petrol,," 14,147,765 "
Defender 1997cc T/C Petrol AWD Auto 3 Door 300ps HSE,2000,SUV,4WD,,Petrol,," 15,417,720 "
Defender 2996cc T/C Petrol AWD Auto 3 Door 400ps,3000,SUV,4WD,,Petrol,," 14,065,015 "
Defender 2996cc T/C Petrol AWD Auto 3 Door 400ps S,3000,SUV,4WD,,Petrol,," 14,840,160 "
Defender 2996cc T/C Petrol AWD Auto 3 Door 400ps SE,3000,SUV,4WD,,Petrol,," 15,735,451 "
Defender 2996cc T/C Petrol AWD Auto 3 Door 400ps HSE,3000,SUV,4WD,,Petrol,," 17,005,407 "
Defender 2996cc T/C Petrol AWD Auto 3 Door 400ps First Edition 90,3000,SUV,4WD,,Petrol,," 17,146,540 "
Defender 2996cc T/C Petrol AWD Auto 3 Door 400ps X,3000,SUV,4WD,,Petrol,," 20,535,422 "
Defender 1997cc T/C Petrol AWD Auto 5 Door 300ps,2000,SUV,4WD,,Petrol,," 13,332,811 "
Defender 1997cc T/C Petrol AWD Auto 5 Door 300ps S,2000,SUV,4WD,,Petrol,," 14,321,225 "
Defender 1997cc T/C Petrol AWD Auto 5 Door 300ps SE,2000,SUV,4WD,,Petrol,," 15,216,515 "
Defender 1997cc T/C Petrol AWD Auto 5 Door 300ps HSE,2000,SUV,4WD,,Petrol,," 16,486,230 "
Defender 2996cc T/C Petrol AWD Auto 5 Door 400ps,3000,SUV,4WD,,Petrol,," 15,133,525 "
Defender 1997cc T/C Petrol AWD Auto 5 Door 400ps S,3000,SUV,4WD,,Petrol,," 15,908,912 "
Defender 1997cc T/C Petrol AWD Auto 5 Door 400ps SE,3000,SUV,4WD,,Petrol,," 16,804,201 "
Defender 1997cc T/C Petrol AWD Auto 5 Door 400ps HSE,3000,SUV,4WD,,Petrol,," 18,073,917 "
Defender 1997cc T/C Petrol AWD Auto 5 Door 400ps First Edition 110,3000,SUV,4WD,,Petrol,," 18,210,225 "
Defender 1997cc T/C Petrol AWD Auto 5 Door 400ps X,3000,SUV,4WD,,Petrol,," 20,913,466 "
Discovery  SDV6 Granite,3000,ESTATE,4WD,,Diesel,,"14,809,201"
Discovery  SDV6 Landmark,3000,ESTATE,4WD,,Diesel,,"16,213,163"
Discovery  SDV6 S,3000,ESTATE,4WD,,Diesel,,"13,030,849"
Discovery  SDV6 SE,3000,ESTATE,4WD,,Diesel,,"14,855,167"
DISCOVERY  SDV6 XS,3000,ESTATE,4WD,,Diesel,,"14,855,167"
Discovery  SDV6 HSE,3000,ESTATE,4WD,,Diesel,,"16,418,869"
Discovery  SDV6 HSE LUXURY,3000,ESTATE,4WD,,Diesel,,"18,546,150"
Discovery  Si4 HSE,2000,ESTATE,4WD,,Petrol,,"11,190,099"
Discovery Si4 HSE LUXURY,2000,ESTATE,4WD,,Petrol,,"12,230,071"
Discovery Si6 S,3000,ESTATE,4WD,,Petrol,,"11,897,280"
Discovery Si6 SE,3000,ESTATE,4WD,,Petrol,,"12,739,657"
Discovery Si6 HSE Luxury,3000,ESTATE,4WD,,Petrol,,"13,883,626"
Discovery Si6 First Edition,3000,ESTATE,4WD,,Petrol,,"15,505,983"
Discovery TD6,3000,ESTATE,4WD,,Diesel,,"12,675,439"
Discovery TD6 SE,3000,ESTATE,4WD,,Diesel,,"13,948,616"
Discovery TD6 HSE,3000,ESTATE,4WD,,Diesel,,"15,199,259"
Discovery TD6 HSE Luxury,3000,ESTATE,4WD,,Diesel,,"16,945,653"
Discovery TD6 First Edition,3000,ESTATE,4WD,,Diesel,,"18,613,177"
Discovery III SDV6 SE,2700,ESTATE,4WD,,Diesel,.,"8,972,437"
Discovery III SDV6 S SPECIAL,2700,ESTATE,4WD,,Diesel,,"7,891,420"
Discovery III SDV6 HSE,2700,ESTATE,4WD,,Diesel,,"10,269,657"
Discovery III TDV6 SE,2700,ESTATE,4WD,,Diesel,.,"8,992,220"
Discovery III TDV6 S SPECIAL,2700,ESTATE,4WD,,Diesel,,"7,908,820"
Discovery III TDV6 HSE,2700,ESTATE,4WD,,Diesel,,"10,292,300"
Discovery IV SDV6 SE,3000,ESTATE,4WD,,Diesel,,"11,811,090"
Discovery IV SDV6 HSE,3000,ESTATE,4WD,,Diesel,,"13,512,706"
Discovery IV SDV6 XS,3000,ESTATE,4WD,,Diesel,,"9,188,641"
Discovery IV 2.7L SDV6 S,2700,ESTATE,4WD,,Diesel,,"10,702,064"
Discovery IV 2.7L SDV6 HSE,2700,ESTATE,4WD,,Diesel,,"12,431,690"
Discovery IV TDV6 SE,3000,ESTATE,4WD,,Diesel,,"11,863,230"
Discovery IV TDV6 HSE,3000,ESTATE,4WD,,Diesel,,"13,542,500"
Discovery IV TDV6 XS,3000,ESTATE,4WD,,Diesel,,"9,208,900"
Discovery IV 2.7L TDV6 S,2700,ESTATE,4WD,,Diesel,,"10,725,660"
Discovery IV 2.7L V6 PE SE HIGH SPEC,2700,ESTATE,4WD,,Diesel,,"11,375,700"
Discovery IV 2.7L TDV6 HSE,2700,ESTATE,4WD,,Diesel,,"12,459,100"
Discovery 5.0L P SE,5000,ESTATE,4WD,,Petrol,,"14,084,200"
Discovery 5.0L P HSE,5000,ESTATE,4WD,,Petrol,,"14,950,920"
Discovery ES V8 (7 Seats),3947,ESTATE,4WD,,Petrol,,"11,375,700"
Discovery 3.0 V6 SE,3000,ESTATE,4WD,,Petrol,,"11,869,800"
Discovery 3.0 V6 HSE,3000,ESTATE,4WD,,Petrol,,"13,542,500"
Discovery Sport Si4  ,2000,ESTATE,4WD,,Petrol,,"10,129,327"
Discovery sport Si4 Pure,2000,ESTATE,4WD,,Petrol,,"8,795,140"
Discovery sport Si4 SE,2000,ESTATE,4WD,,Petrol,,"9,767,916"
Discovery sport Si4 HSE,2000,ESTATE,4WD,,Petrol,,"10,733,965"
Discovery sport Si4 HSE LUXURY,2000,ESTATE,4WD,,Petrol,,"11,679,833"
Discovery Sport SD4 Pure,2000,ESTATE,4WD,,Diesel,,"8,795,140"
Discovery Sport SD4 SE,2000,ESTATE,4WD,,Diesel,,"9,767,916"
Discovery Sport SD4 HSE,2000,ESTATE,4WD,,Diesel,,"10,733,965"
Discovery Sport SD4 HSE LUXURY,2000,ESTATE,4WD,,Diesel,,"11,679,833"
Discovery (L462) S,3000,ESTATE,4WD,,Diesel,,"12,653,814"
Discovery (L462) SE,3000,ESTATE,4WD,,Diesel,,"14,385,814"
Discovery (L462) HSE,3000,ESTATE,4WD,,Diesel,,"16,008,579"
Discovery (L462) HSE LUXURY,3000,ESTATE,4WD,,Diesel,,"17,877,626"
Discovery (L462) S,3000,ESTATE,4WD,,Petrol,,"13,074,389"
Discovery (L462) SE,3000,ESTATE,4WD,,Petrol,,"14,487,921"
All New Discovery 2993cc T/C 258ps Diesel AWD Auto 5 Door S ,3000,SUV,4WD,,Diesel,,"13,154,790"
All New Discovery 2993cc T/C 258ps Diesel AWD Auto 5 Door SE ,3000,SUV,4WD,,Diesel,,"14,963,892"
All New Discovery 2993cc T/C 258ps Diesel AWD Auto 5 Door HSE ,3000,SUV,4WD,,Diesel,,"16,658,597"
All New Discovery 2993cc T/C 258ps Diesel AWD Auto 5 Door S HSE Luxury ,3000,SUV,4WD,,Diesel,,"18,610,631"
All New Discovery 2995cc T/C 340ps Petrol AWD Auto 5 Door ,3000,SUV,4WD,,Petrol,,"12,710,920"
All New Discovery 2995cc T/C 340ps Petrol AWD Auto 5 Door SE ,3000,SUV,4WD,,Petrol,,"14,083,892"
All New Discovery 2995cc T/C 340ps Petrol AWD Auto 5 Door HSE ,3000,SUV,4WD,,Petrol,,"15,659,999"
All New Discovery 2995cc T/C 340ps Petrol AWD Auto 5 Door HSE Luxury ,3000,SUV,4WD,,Petrol,,"17,473,016"
All New Discovery 2993cc T/C 258ps Diesel AWD Auto 5 Door Landmark Edition ,3000,SUV,4WD,,Diesel,,"16,055,410"
Discovery Sport Si4  ,2000,ESTATE,4WD,,Petrol,,"10,129,327"
Discovery sport Si4 Pure,2000,ESTATE,4WD,,Petrol,,"8,795,140"
Discovery sport Si4 SE,2000,ESTATE,4WD,,Petrol,,"9,767,916"
