MAKE,Model,Engine Capacity,Body Type ,Drive configuration,seating,Fuel,GVW,CRSP(KES) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ford Fusion Trend 1.5 SE,1500,HATCHBACK,2WD,,Petrol,,"4,395,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ford Fusion Titan 1.5L,1500,HATCHBACK,2WD,,Petrol,,"5,195,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,F250 D/C XLT,4200,DOUBLE  CAB,4WD,,Diesel,3.99T,"6,351,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,F250 S/C XL,4200,SCAB,2WD,,Diesel,,"4,211,271",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,KUGA,2500,S/WAGON,AWD,,Petrol,,"5,795,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Kuga Ecoboost,1600,S/WAGON,AWD,,Petrol,,"5,350,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Kuga Ecoboost (Panaromic roof),1600,S/WAGON,AWD,,Petrol,,"5,650,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Mondeo TDCI,2200,HATCHBACK,4WD,,Diesel,,"3,761,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger SC T6,2200,SCAB,4x2,,Diesel,,"2,765,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger SC T6 - BASE,2200,SCAB,4x2,,Diesel,,"3,395,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger SC T6 - SAFETY PACK,2200,SCAB,4x2,,Diesel,,"3,995,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger SC T6 M/T,2200,SCAB,4X4,,Diesel,,"3,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger DC T6 M/T,2200,DOUBLE  CAB,4X4,,Diesel,,"4,795,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger DC T6 - SAFETY PACK,2200,DOUBLE  CAB,4X4,,Diesel,,"4,395,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger RAP CAB - XLT,2200,DOUBLE  CAB,4X4,,Diesel,,"5,195,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger DC T6 - XLT ,2200,DOUBLE  CAB,4X4,,Diesel,,"5,395,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger DC T6 - XLT MT,3200,DOUBLE  CAB,4X4,,Diesel,,"6,169,963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger DC T6 - XLT AT,3200,DOUBLE  CAB,4X4,,Diesel,,"6,494,983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger DC T6 - PUMA XLT,2200,DOUBLE  CAB,4X4,,Diesel,,"4,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger RUN OUT,2200,DOUBLE  CAB,4X2,,Diesel,,"3,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger BASE  RUN OUT,2200,DOUBLE  CAB,4X4,,Diesel,,"3,757,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger J97,2500,DOUBLE  CAB,4x2,,Diesel,,"2,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger J97,2500,SCAB,4x4,,Diesel,,"3,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger (NM),2499,SCAB,4x4,,Diesel, ,"2,944,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger (LWB XL),2892,SCAB,4x4,,Diesel, ,"2,464,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger deluxe,2892,SCAB,4x4,,Diesel,,"2,952,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger Base LWB,2892,SCAB,4x4,,Diesel,,"2,074,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger XL UKBB MT TD,2200,DOUBLE  CAB,4X4,,Diesel,,"4,116,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger HI-RIDER XLT UKBE MT TD,2200,DOUBLE  CAB,4x2,,Diesel,,"4,645,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger XL UKBB AT TD,3200,DOUBLE  CAB,4x4,,Diesel,,"4,662,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger XLT  UKBE MT TD,3200,DOUBLE  CAB,4x4,,Diesel, ,"5,362,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger LTD UKBX AT TD,3200,DOUBLE  CAB,4x4,,Diesel, ,"6,243,634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger T6 XLT,3200,DOUBLE  CAB,4x4,,Diesel, ,"5,362,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger T6 XLT LTD,3200,DOUBLE  CAB,4x4,,Diesel, ,"6,243,634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,WILDTRACK,3200,DOUBLE  CAB,4x4,,Diesel, ,"6,717,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Ranger Ambulance 1 TON LWB,2500,VAN,4x4,,Diesel,,"3,451,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Territory,4000,S/WAGON,4WD,,Petrol,,"6,220,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Territory,4200,S/WAGON,4WD,,Petrol,,"6,531,927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Transit Custom,2000,VAN,2WD,,Petrol,,"5,095,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Transit Custom (Top),2000,VAN,2WD,,Petrol,,"5,395,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,Telestar,1300,S/WAGON,4WD,,Petrol,,"1,276,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,SUP V BJ1027-8R,2237,SCAB,,,Diesel,,"1,918,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,SUP V BJ1027-8R,2237,DOUBLE  CAB,,,Diesel,,"2,006,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,CONQUEROR BJ2027-8R,2237,DOUBLE  CAB,,,Diesel,,"2,358,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,VIEW M/B BJ3536-3R,2700,MBUS,,,Diesel,,"2,420,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,AUMARK 4T CC BJ1049,2776,TRK,4x2,,Diesel,5.9T,"2,182,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,AUMARK 4T CC BUS BJ1049,2776,BUS,4x2,,Diesel,4T,"1,918,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,AUMARK 7T CC BJ1089,3760,TRK,4x2,,Diesel,9.63T,"2,534,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,AUMARK 7T CC BUS BJ1089,3760,BUS,4x2,,Diesel,,"2,244,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,OLLIN 4T CC BJ1041,4000,TRK,4x2,,Diesel,5.645T,"1,980,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,OLLIN 4T CC BUS BJ1041,4000,BUS,4x2,,Diesel,4T,"1,742,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,OLLIN 5T CC BJ1069,4080,TRK,4x2,,Diesel,5T,"2,358,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,OLLIN 5T CC BUS BJ1069,4080,BUS,4x2,,Diesel,5T,"2,094,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,AUMAN 10T CC BJ1133,5990,TRK,4x2,,Diesel,14.6T,"3,942,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,AUMAN 10T CC BUS BJ1133,5990,BUS,4x2,,Diesel,10T,"3,502,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,AUMAN TIPPER BJ3253,9276,TIPPER,4x2,,Diesel,25.5T,"7,638,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,AUMAN TIPPER CHASSIS BJ4254,9276,TIPPER,4x2,,Diesel,25.5T,"5,526,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,AUMAN PRIME MOVER BJ4253-RA,11596,PM,,,Diesel,25T,"5,790,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,AUMAN PRIME MOVER BJ4253-R,11596,PM,,,Diesel,25T,"6,054,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,TRASH TRUCK,,TRK,,,Diesel,,"7,832,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,AUV BUS 6920 COMFORT 47 SEATER 2+ BJ6920-R,155KW,BUS,,,Diesel,13T,"6,670,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,AUV BUS 6103 COMFORT 57 SEATER 2+ BJ6103-R,177KW,BUS,,,Diesel,13.8T,"8,360,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTON,AUV BUS 6103 DELUXE 45 SEATER 2+ BJ6103-R,177KW,BUS,,,Diesel,13.8,"8,870,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREATWALL,WINGLE 3 4*2 CC1021PD13 ,2200,SINGLE CAB,2WD,,Petrol,,"1,624,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREATWALL,WINGLE 5 4*2 CC1021PD58,2500,SINGLE CAB,2WD,,Diesel,,"2,088,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREATWALL,WINGLE 5 4*4  CC1021 PD78,2500,SINGLE CAB,4WD,,Diesel,,"2,378,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREATWALL,WINGLE 5 4*4 CC1021 PS78,2500,DOUBLE  CAB,4WD,,Diesel,,"2,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREATWALL,WINGLE 5 4*4 CC1021 PD78,2500,DOUBLE  CAB,4WD,,Diesel,,"3,248,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREATWALL,WINGLE 5  CC1031,2400,SINGLE CAB,2WD,,Petrol,,"2,314,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREATWALL,WINGLE 5  CC1031,2400,DOUBLE  CAB,2WD,,Petrol,,"2,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREATWALL,HAVAL H5 STD 4*2 CC6461KM19 MANUAL,2400,ESTATE,2WD,,Petrol,,"2,958,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREATWALL,HAVAL H5 STD 4*4 CC6461KM39 MANUAL,2400,ESTATE,4WD,,Petrol,,"3,271,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREATWALL,HAVAL H5 LUX 4*4 CC6461KM39 AUTO,2400,ESTATE,4WD,,Petrol,,"3,468,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREATWALL,HAVAL H5 LUX 4*4 CC6461KM78 AUTO,2500,ESTATE,4WD,,Diesel,,"4,222,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,FY700,13000,TRK,6X2,,Diesel,,"9,231,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,FY2 PULA,10521,TRK,6X2,,Diesel,,"7,471,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,300 Dutro 110,4009,TRK,4X2,,Diesel,7.5T,"4,525,529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,300 Dutro 130,4009,TRK,4X2,,Diesel,8.25T,"4,895,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,300 Dutro 130 MIXER,4009,TRK MIXER,4X2,,Diesel,8.25T,"6,153,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,300 Dutro 4X4 TDI,4009,TRK,4X4,,Diesel,7.5T,"9,275,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,DUTRO MICRO BUS 110,4009,BUS,4X2,<20,Diesel,7T,"5,126,787",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,DUTRO MICRO BUS 130,4009,BUS,4X2,<20,Diesel,7.5T,"6,243,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,FB130 BUS,4009,BUS,4X2,<20,Diesel,8T,"6,243,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,Hino FC 500 LWB 1017 Cab and chassis,6634,TRK,4X2,,Diesel,,"4,698,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,Hino FC 500 LWB 1017 with body.,6634,TRK,4X2,,Diesel,,"4,990,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,Hino FC 500 LWB 1017 with body.,6634,BUS,4X2,,Diesel,,"6,496,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,Hino GT 500 LWB 1017 Cab and chassis,7962,TRK,4X2,,Diesel,,"10,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,Hino 300 Series Cab and Chassis- 6 speed,4006,TRK,4x2,,Diesel,,"3,550,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,Hino 300 Series with body-6 speed,4006,TRK,4x2,,Diesel,,"3,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,Hino 300 Series- 6speed ,4006,BUS,4x2,29,Diesel,,"4,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,Hino 300 Series - 5speed Cab and Chassis,4006,TRK,4x2,,Diesel,,"3,450,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,Hino 300 Series Ninja - 5speed with body,4006,TRK,4x2,,Diesel,,"3,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,Hino 300 Series Ninja - 5speed with body,4006,BUS,4x2,,Diesel,,"4,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,A215 BUS,7684,BUS,4X2,30-50,Diesel,14.2T,"6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,R235 BUS,7684,BUS,4X2,30-50,Diesel,14.2T,"6,015,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,R260 BUS,7684,BUS,4X2,30-50,Diesel,14.2T,"6,105,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,CNG CHASSIS,7961,BUS,4X2,>50,Diesel,18T,"6,156,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,500 RANGER FG 235,7684,TRK,4X2,,Diesel,15T,"6,156,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,500 RANGER FG 260,7684,TRK,4X2,,Diesel,15T,"6,785,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,500 RANGER FG 215,7684,TRK,4X2,,Diesel,14.2T,"6,077,794",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,500 RANGER FL 235,7684,TRK,6X2,,Diesel,26T,"7,852,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,500 RANGER FL 260,7684,TRK,6X2,,Diesel,26T,"8,266,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,500 RANGER FM 260,10520,TRK,6X4,,Diesel,26T,"9,949,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINO,500 RANGER FM 320,7684,TRK,6X4,,Diesel,26T,"11,804,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
