,,,,,,,Discontinuation_Year
MAKE,Model,Engine Capacity,Body Type ,Drive configuration,seating,Fuel,Discontinuation_Year
FAW,CA1223 LONG CHASSIS,,TRK,6X4,,,Unknown
FAW,CA1311,280HP,TRK,8X4,,,Unknown
FAW,CA1128,,TIPPER,4X2,,,Unknown
FAW,CA3223,230HP,TIPPER,6X4,,,Unknown
FAW,CA3075,130HP,TIPPER,4X2,,,Unknown
FAW,CA3120,170HP,TIPPER,4X2,,,Unknown
FAW,CA3320,290HP,TIPPER,6X4,,,Unknown
FAW,CA4258 J5,420HP,PM,6X4,,,Unknown
FAW,CA4250 J6,420HP,PM,6X4,,,Unknown
FAW,CA4322P2K15TIA82,380HP,PM,6*4,,,Unknown
FAW,CA4161,280HP,PM,6*4,,,Unknown
FAW,CA4080,,TRK,4X2,,,Unknown
FAW,CA1120 SWB,,TRK,4X2,,,Unknown
FAW,CA1120 LWB,,TRK,4X2,,,Unknown
FAW,CA1150 LWB,,TRK,4X2,,,Unknown
FAW,CA5150 CEMENT MIXER 3.5M,,TRK,4X2,,,Unknown
FAW,CA5250 CEMENT MIXER 8 CBM,,TRK,6X4,,,Unknown
FAW,CA 2160 FIGHTER,,TRK,4X4,,,Unknown
FERRARI,599 GTB Fiorano 65DEG V12-366.08 CI,5999,COUPE,4WD,,Petrol,2012
FERRARI,458 ITALIA 90DEG V8-274.5 CI 7SP MANUAL,4499,COUPE,4WD,2,Petrol,2015
FERRARI,CALIFORNIA 90DEG V8-262.22 CI 7SP MANUAL GTI CONVERTIBLE,4297,COUPE,4WD,4,Petrol,2014
FERRARI,612 SCAGLIETTI V12 6SP AUTO,5700,COUPE,4WD,4,Petrol,2011
FIAT,Palio ED,1246,HATCHBACK,2WD,,Petrol,2001
FIAT,Siena EL,1246,SALOON,2WD,,Petrol,2001
FIAT,Siena EL,1600,SALOON,2WD,,Petrol,2001
FIAT,Siena ELX,1600,SALOON,2WD,,Petrol,2001
FIAT,Weekend ELX,1600,S/WAGON,2WD,,Petrol,2001
FIAT,Ducato Manual,2300,VAN,2WD,,Diesel,2006
FORD,Bantam 1.3,1300,SCAB,2WD,,Petrol,2011
FORD,Bantam 1.6i,1597,SCAB,2WD,,Petrol,2011
FORD,Bantam 1.8,1753,SCAB,2WD,,Diesel,2011
FORD,Courier,1800,SCAB,4WD,,Diesel,2013
FORD,Ecosport Trend,1500,S/WAGON,2WD,,Diesel,2022
FORD,Ecosport Titanium,1500,S/WAGON,2WD,,Diesel,2022
FORD,Everest 2.2 XLS,2200,S/WAGON,4WD,,Diesel,Unknown
FORD,Everest 2.2 XLT,2200,S/WAGON,4WD,,Diesel,Unknown
FORD,Everest 3.2 XLT,3200,S/WAGON,4WD,,Diesel,Unknown
FORD,Everest 3.2 LTD,3200,S/WAGON,4WD,,Diesel,Unknown
FORD,Everest 3.2 LTD TITANIUM,3200,S/WAGON,4WD,,Diesel,Unknown
FORD,Mustang Coupe AT,2300,S/WAGON,4WD,,Diesel,Unknown
FORD,Mustang Coupe GT COUPE,5000,S/WAGON,4WD,,Diesel,Unknown
FORD,Everest 2.5 TDI,2500,S/WAGON,4WD,7,Diesel,2015
FORD,Everest 3.0 TDI,3000,S/WAGON,4WD,7,Diesel,2015
FORD,Escape XLT 3.0L  4X4,3000,S/WAGON,4WD,,Petrol,2007
FORD,Escape ZC 4WD,2260,S/WAGON,4WD,,Petrol,2012
FORD,Figo MT,1400,S/WAGON,2WD,,Petrol,2019
FORD,Figo TREND,1500,S/WAGON,2WD,,Petrol,2019
FORD,Focus 1.6,1600,SALOON,2WD,,Petrol,2018
FORD,Focus 1.6L EFI,1600,HATCHBACK,2WD,,Petrol,2011
FORD,Focus Trend,1600,HATCHBACK,2WD,,Petrol,2018
FORD,Focus Titanium/MONDEO/FIESTA,1600,HATCHBACK,2WD,,Petrol,2018
FORD,Focus Titanium/MONDEO/FIESTA,1600,HATCHBACK,2WD,,Diesel,2018
FORD,Focus,2521,HATCHBACK,2WD,,Petrol,2018
FORD,Ford Fusion Trend 1.5 SE,1500,HATCHBACK,2WD,,Petrol,2020
FORD,Ford Fusion Titan 1.5L,1500,HATCHBACK,2WD,,Petrol,2020
FORD,F250 D/C XLT,4200,DOUBLE  CAB,4WD,,Diesel,Unknown
FORD,F250 S/C XL,4200,SCAB,2WD,,Diesel,Unknown
FORD,KUGA,2500,S/WAGON,AWD,,Petrol,2012
FORD,Kuga Ecoboost,1600,S/WAGON,AWD,,Petrol,2023
FORD,Kuga Ecoboost (Panaromic roof),1600,S/WAGON,AWD,,Petrol,2023
FORD,Mondeo TDCI,2200,HATCHBACK,4WD,,Diesel,2022
FORD,Ranger SC T6,2200,SCAB,4x2,,Diesel,2019
FORD,Ranger SC T6 - BASE,2200,SCAB,4x2,,Diesel,2019
FORD,Ranger SC T6 - SAFETY PACK,2200,SCAB,4x2,,Diesel,2019
FORD,Ranger SC T6 M/T,2200,SCAB,4X4,,Diesel,2019
FORD,Ranger DC T6 M/T,2200,DOUBLE  CAB,4X4,,Diesel,2019
FORD,Ranger DC T6 - SAFETY PACK,2200,DOUBLE  CAB,4X4,,Diesel,2019
FORD,Ranger RAP CAB - XLT,2200,DOUBLE  CAB,4X4,,Diesel,2019
FORD,Ranger DC T6 - XLT,2200,DOUBLE  CAB,4X4,,Diesel,2019
FORD,Ranger DC T6 - XLT MT,3200,DOUBLE  CAB,4X4,,Diesel,2019
FORD,Ranger DC T6 - XLT AT,3200,DOUBLE  CAB,4X4,,Diesel,2019
FORD,Ranger DC T6 - PUMA XLT,2200,DOUBLE  CAB,4X4,,Diesel,2019
FORD,Ranger RUN OUT,2200,DOUBLE  CAB,4X2,,Diesel,2019
FORD,Ranger BASE  RUN OUT,2200,DOUBLE  CAB,4X4,,Diesel,2019
FORD,Ranger J97,2500,DOUBLE  CAB,4x2,,Diesel,2006
FORD,Ranger J97,2500,SCAB,4x4,,Diesel,2006
FORD,Ranger (NM),2499,SCAB,4x4,,Diesel,2006
FORD,Ranger (LWB XL),2892,SCAB,4x4,,Diesel,2006
FORD,Ranger deluxe,2892,SCAB,4x4,,Diesel,2006
FORD,Ranger Base LWB,2892,SCAB,4x4,,Diesel,2006
FORD,Ranger XL UKBB MT TD,2200,DOUBLE  CAB,4X4,,Diesel,2011
FORD,Ranger HI-RIDER XLT UKBE MT TD,2200,DOUBLE  CAB,4x2,,Diesel,2011
FORD,Ranger XL UKBB AT TD,3200,DOUBLE  CAB,4x4,,Diesel,2011
FORD,Ranger XLT  UKBE MT TD,3200,DOUBLE  CAB,4x4,,Diesel,2011
FORD,Ranger LTD UKBX AT TD,3200,DOUBLE  CAB,4x4,,Diesel,2011
FORD,Ranger T6 XLT,3200,DOUBLE  CAB,4x4,,Diesel,2019
FORD,Ranger T6 XLT LTD,3200,DOUBLE  CAB,4x4,,Diesel,2019
FORD,WILDTRACK,3200,DOUBLE  CAB,4x4,,Diesel,2019
FORD,Ranger Ambulance 1 TON LWB,2500,VAN,4x4,,Diesel,2011
FORD,Territory,4000,S/WAGON,4WD,,Petrol,2016
FORD,Territory,4200,S/WAGON,4WD,,Petrol,2016
FORD,Transit Custom,2000,VAN,2WD,,Petrol,Unknown
FORD,Transit Custom (Top),2000,VAN,2WD,,Petrol,Unknown
FORD,Telestar,1300,S/WAGON,4WD,,Petrol,1994
FOTON,SUP V BJ1027-8R,2237,SCAB,,,Diesel,Unknown
FOTON,SUP V BJ1027-8R,2237,DOUBLE  CAB,,,Diesel,Unknown
FOTON,CONQUEROR BJ2027-8R,2237,DOUBLE  CAB,,,Diesel,Unknown
FOTON,VIEW M/B BJ3536-3R,2700,MBUS,,,Diesel,Unknown
FOTON,AUMARK 4T CC BJ1049,2776,TRK,4x2,,Diesel,Unknown
FOTON,AUMARK 4T CC BUS BJ1049,2776,BUS,4x2,,Diesel,Unknown
FOTON,AUMARK 7T CC BJ1089,3760,TRK,4x2,,Diesel,Unknown
FOTON,AUMARK 7T CC BUS BJ1089,3760,BUS,4x2,,Diesel,Unknown
FOTON,OLLIN 4T CC BJ1041,4000,TRK,4x2,,Diesel,Unknown
FOTON,OLLIN 4T CC BUS BJ1041,4000,BUS,4x2,,Diesel,Unknown
FOTON,OLLIN 5T CC BJ1069,4080,TRK,4x2,,Diesel,Unknown
FOTON,OLLIN 5T CC BUS BJ1069,4080,BUS,4x2,,Diesel,Unknown
FOTON,AUMAN 10T CC BJ1133,5990,TRK,4x2,,Diesel,Unknown
FOTON,AUMAN 10T CC BUS BJ1133,5990,BUS,4x2,,Diesel,Unknown
FOTON,AUMAN TIPPER BJ3253,9276,TIPPER,4x2,,Diesel,Unknown
FOTON,AUMAN TIPPER CHASSIS BJ4254,9276,TIPPER,4x2,,Diesel,Unknown
FOTON,AUMAN PRIME MOVER BJ4253-RA,11596,PM,,,Diesel,Unknown
FOTON,AUMAN PRIME MOVER BJ4253-R,11596,PM,,,Diesel,Unknown
FOTON,TRASH TRUCK,,TRK,,,Diesel,Unknown
FOTON,AUV BUS 6920 COMFORT 47 SEATER 2+ BJ6920-R,155KW,BUS,,,Diesel,Unknown
FOTON,AUV BUS 6103 COMFORT 57 SEATER 2+ BJ6103-R,177KW,BUS,,,Diesel,Unknown
FOTON,AUV BUS 6103 DELUXE 45 SEATER 2+ BJ6103-R,177KW,BUS,,,Diesel,Unknown
GREATWALL,WINGLE 3 4*2 CC1021PD13,2200,SINGLE CAB,2WD,,Petrol,Unknown
GREATWALL,WINGLE 5 4*2 CC1021PD58,2500,SINGLE CAB,2WD,,Diesel,Unknown
GREATWALL,WINGLE 5 4*4  CC1021 PD78,2500,SINGLE CAB,4WD,,Diesel,Unknown
GREATWALL,WINGLE 5 4*4 CC1021 PS78,2500,DOUBLE  CAB,4WD,,Diesel,Unknown
GREATWALL,WINGLE 5 4*4 CC1021 PD78,2500,DOUBLE  CAB,4WD,,Diesel,Unknown
GREATWALL,WINGLE 5  CC1031,2400,SINGLE CAB,2WD,,Petrol,Unknown
GREATWALL,WINGLE 5  CC1031,2400,DOUBLE  CAB,2WD,,Petrol,Unknown
GREATWALL,HAVAL H5 STD 4*2 CC6461KM19 MANUAL,2400,ESTATE,2WD,,Petrol,Unknown
GREATWALL,HAVAL H5 STD 4*4 CC6461KM39 MANUAL,2400,ESTATE,4WD,,Petrol,Unknown
GREATWALL,HAVAL H5 LUX 4*4 CC6461KM39 AUTO,2400,ESTATE,4WD,,Petrol,Unknown
GREATWALL,HAVAL H5 LUX 4*4 CC6461KM78 AUTO,2500,ESTATE,4WD,,Diesel,Unknown
HINO,FY700,13000,TRK,6X2,,Diesel,Unknown
HINO,FY2 PULA,10521,TRK,6X2,,Diesel,Unknown
HINO,300 Dutro 110,4009,TRK,4X2,,Diesel,Unknown
HINO,300 Dutro 130,4009,TRK,4X2,,Diesel,Unknown
HINO,300 Dutro 130 MIXER,4009,TRK MIXER,4X2,,Diesel,Unknown
HINO,300 Dutro 4X4 TDI,4009,TRK,4X4,,Diesel,Unknown
HINO,DUTRO MICRO BUS 110,4009,BUS,4X2,<20,Diesel,Unknown
HINO,DUTRO MICRO BUS 130,4009,BUS,4X2,<20,Diesel,Unknown
HINO,FB130 BUS,4009,BUS,4X2,<20,Diesel,Unknown
HINO,Hino FC 500 LWB 1017 Cab and chassis,6634,TRK,4X2,,Diesel,Unknown
HINO,Hino FC 500 LWB 1017 with body.,6634,TRK,4X2,,Diesel,Unknown
HINO,Hino FC 500 LWB 1017 with body.,6634,BUS,4X2,,Diesel,Unknown
HINO,Hino GT 500 LWB 1017 Cab and chassis,7962,TRK,4X2,,Diesel,Unknown
HINO,Hino 300 Series Cab and Chassis- 6 speed,4006,TRK,4x2,,Diesel,Unknown
HINO,Hino 300 Series with body-6 speed,4006,TRK,4x2,,Diesel,Unknown
HINO,Hino 300 Series- 6speed,4006,BUS,4x2,29,Diesel,Unknown
HINO,Hino 300 Series - 5speed Cab and Chassis,4006,TRK,4x2,,Diesel,Unknown
HINO,Hino 300 Series Ninja - 5speed with body,4006,TRK,4x2,,Diesel,Unknown
HINO,Hino 300 Series Ninja - 5speed with body,4006,BUS,4x2,,Diesel,Unknown
HINO,A215 BUS,7684,BUS,4X2,30-50,Diesel,Unknown
HINO,R235 BUS,7684,BUS,4X2,30-50,Diesel,Unknown
HINO,R260 BUS,7684,BUS,4X2,30-50,Diesel,Unknown
HINO,CNG CHASSIS,7961,BUS,4X2,>50,Diesel,Unknown
HINO,500 RANGER FG 235,7684,TRK,4X2,,Diesel,Unknown
HINO,500 RANGER FG 260,7684,TRK,4X2,,Diesel,Unknown
HINO,500 RANGER FG 215,7684,TRK,4X2,,Diesel,Unknown
HINO,500 RANGER FL 235,7684,TRK,6X2,,Diesel,Unknown
HINO,500 RANGER FL 260,7684,TRK,6X2,,Diesel,Unknown
HINO,500 RANGER FM 260,10520,TRK,6X4,,Diesel,Unknown
HINO,500 RANGER FM 320,7684,TRK,6X4,,Diesel,Unknown
HINO,500 RANGER SG260,7684,PM,6X4,,Diesel,Unknown
HINO,500 RANGER FM 320P,10520,PM,6X4,,Diesel,Unknown
HINO,HINO 700 SERIES 3241,13000,PM,8X4,,Diesel,Unknown
HINO,500 RANGER FC6JKW,4720CC,TRK,4X2,,Diesel,Unknown
HINO,Hino FC 500 LWB 1017 Cab and chassis,6634,TRK,4X2,,Diesel,Unknown
HINO,Hino FC 500 LWB 1017 with body.,6634,TRK,4X2,,Diesel,Unknown
HINO,Hino FC 500 LWB 1017 with body.,6634,BUS,4X2,,Diesel,Unknown
HINO,Hino GT 500 LWB 1017 Cab and chassis,7962,TRK,4X2,,Diesel,Unknown
HINO,Hino 300 Series Cab and Chassis- 6 speed,4006,TRK,4x2,,Diesel,Unknown
HINO,Hino 300 Series with body-6 speed,4006,TRK,4x2,,Diesel,Unknown
HINO,Hino 300 Series- 6speed,4006,BUS,4x2,29,Diesel,Unknown
HINO,Hino 300 Series - 5speed Cab and Chassis,4006,TRK,4x2,,Diesel,Unknown
HINO,Hino 300 Series Ninja - 5speed with body,4006,TRK,4x2,,Diesel,Unknown
HINO,Hino 300 Series Ninja - 5speed with body,4006,BUS,4x2,,Diesel,Unknown
HONDA,ACCORD ELEGANCE AUTO,2000,COUPE,2WD,,Petrol,2017
HONDA,ACCORD EXCUTIVE AT,2400,COUPE,2WD,,Petrol,2017
HONDA,ACCORD EX- L NAVI V6,3500,COUPE,2WD,,Petrol,2017
HONDA,ACCORD CROSSTOUR EX-L,3500,S/WAGON,2WD,,Petrol,2015
HONDA,ACCORD SE,2400,SALOON,2WD,,Petrol,2017
HONDA,ACCORD EX,2400,SALOON,2WD,,Petrol,2017
HONDA,ACCORD EX-V6,3500,SALOON,2WD,,Petrol,2017
HONDA,AIRWAVE,1500,S/WAGON,2WD,,Petrol,2009
HONDA,ACTY,650,VAN,2WD,,Petrol,Unknown
HONDA,BALLADE - ELEGANCE,1500,SALOON,2WD,,Petrol,1987
HONDA,BRIO AT,1200,SALOON,2WD,,Petrol,Unknown
HONDA,BRIO AMAZE,1500,SALOON,2WD,,Petrol,Unknown
HONDA,BRV,1500,S/WAGON,,,Petrol,Unknown
HONDA,CIVIC-EXECUTIVE,1500,S/WAGON,2WD,,Petrol,2005
HONDA,CIVIC-COMFORT,1600,S/WAGON,4WD,,Petrol,2005
HONDA,CIVIC DX,1800,SALOON,2WD,,Petrol,2011
HONDA,CIVIC LX,1800,SALOON,2WD,,Petrol,2011
HONDA,CIVIC EX,1800,SALOON,2WD,,Petrol,2011
HONDA,CIVIC SI,2400,SALOON,2WD,,Petrol,2011
HONDA,CIVIC LX,1800,COUPE,2WD,,Petrol,2011
HONDA,CIVIC EX,1800,COUPE,2WD,,Petrol,2011
HONDA,CIVIC SI,2400,COUPE,2WD,,Petrol,2011
HONDA,CIVIC HYBRID,1300,S/WAGON,2WD,,Petrol,2011
HONDA,CROSSROAD,2000,S/WAGON,2WD,,Petrol,2007
HONDA,HONDA CRF 1000D,998,S/WAGON,2WD,,Petrol,Unknown
HONDA,CRV 2.0 COMFORT,2000,S/WAGON,2WD,,Petrol,2006
HONDA,CRV 2.0 ELEGANCE,2000,S/WAGON,4WD,,Petrol,2006
HONDA,CRV 2.0 RD K20,2000,S/WAGON,2WD,,Petrol,2006
HONDA,CRV 2.2 RD,2200,S/WAGON,4WD,,Diesel,2006
HONDA,CRV 2.4 RD,2400,S/WAGON,2WD,,Petrol,2006
HONDA,CRV 2.0 R20 RE,2000,S/WAGON,2WD,,Petrol,2012
HONDA,CRV 2.2 TD N22A RE,2200,S/WAGON,2WD,,Diesel,2012
HONDA,CRV 2.4 K24Z RE,2400,S/WAGON,4WD,,Petrol,2012
HONDA,CRV 2.0 R20A RM,2000,S/WAGON,4WD,,Petrol,2017
HONDA,CRV 2.4 K24Z RM,2400,S/WAGON,4WD,,Petrol,2017
HONDA,CR-Z,1500,COUPE,4WD,,Petrol,2016
HONDA,ELEMENT LX 2WD,2400,S/WAGON,2WD,,Petrol,2011
HONDA,ELEMENT SC 2WD,2400,S/WAGON,2WD,,Petrol,2011
HONDA,ELEMENT EX 4WD,2400,S/WAGON,4WD,,Petrol,2011
HONDA,FIT MT,1330,HATCHBACK,2wd,,Petrol,2008
HONDA,FIT AT,1330,HATCHBACK,2wd,,Petrol,2008
HONDA,FIT AT,1330,HATCHBACK,4WD,,Petrol,2008
HONDA,FIT MT,1500,HATCHBACK,2WD,,Petrol,2014
HONDA,FIT AT,1500,HATCHBACK,2wd,,Petrol,2014
HONDA,FIT MT,1500,HATCHBACK,4WD,,Petrol,2014
HONDA,FIT SHUTTLE,1500,SW,2WD,,Petrol,2014
HONDA,JAZZ - ELEGANCE,1500,HATCHBACK,2WD,,Petrol,2008
HONDA,FREED/spike,1500,S/WAGON,2WD,,Petrol,Unknown
HONDA,HRV,1800,S/WAGON,2wd,,Petrol,2006
HONDA,INSIGHT,1300,HATCHBACK,2wd,,Petrol,2014
HONDA,INSPIRE,3500,SALOON,2WD,,Petrol,2012
HONDA,Life,650,S/WAGON,2WD,,Petrol,Unknown
HONDA,Mobilio,1500,S/WAGON,2WD,,Petrol,Unknown
HONDA,ODYSSEY LX,2400,S/WAGON,4WD,,Petrol,2017
HONDA,ODYSSEY LX,3500,S/WAGON,4WD,,Petrol,2017
HONDA,ODYSSEY EX,3500,S/WAGON,4WD,,Petrol,2017
HONDA,PILOT LX,3500,S/WAGON,4WD,,Petrol,2015
HONDA,PILOT EX,3500,S/WAGON,4WD,,Petrol,2015
HONDA,Partner,1340,HATCHBACK,2WD,,Petrol,2009
HONDA,RIDGELINE DX,3500,D/C,4WD,,Diesel,2014
HONDA,RIDGELINE VP,3500,D/C,4WD,,Diesel,2014
HONDA,RIDGELINE EX-L,3500,D/C,4WD,,Diesel,2014
HONDA,STREAM,1800,S/WAGON,2WD,,Petrol,2014
HONDA,STREAM,2000,S/WAGON,2WD,,Petrol,2014
HONDA,STREAM,1800,S/WAGON,4WD,,Petrol,2014
HONDA,STREAM,2000,S/WAGON,4WD,,Petrol,2014
HONDA,STEPWAGON,2000,S/WAGON,2WD,,Petrol,Unknown
HONDA,STEPWAGON,2000,S/WAGON,4WD,,Petrol,Unknown
HONDA,ZEST,660,S/WAGON,2WD,,Petrol,Unknown
HUMMER,H3 M/T,3700,S/WAGON,4WD,,Petrol,2010
HUMMER,H3 A/T,3700,S/WAGON,4WD,,Petrol,2010
HYUNDAI,Accent 1.5GL MT,1400,SALOON,2WD,,Petrol,2006
HYUNDAI,Accent 1.5GL AT,1500,SALOON,2WD,,Petrol,2006
HYUNDAI,Accent 1.6GL MT,1600,SALOON,2WD,,Petrol,2006
HYUNDAI,Accent 1.6GL AT,1600,SALOON,2WD,,Petrol,2006
HYUNDAI,Accent 1.6 PREMIUM,1600,SALOON,2WD,,Petrol,2006
HYUNDAI,Atos F LS AC 1.0,1000,SALOON,2WD,,Petrol,2004
HYUNDAI,Elantra GL MT,1800,S/WAGON,2WD,,Petrol,2006
HYUNDAI,Elantra GL AT,1800,S/WAGON,2WD,,Petrol,2006
HYUNDAI,Elantra GLS AT,2600,S/WAGON,2WD,,Petrol,2006
HYUNDAI,H-1 6 SEATER,2600,M/BUS,2WD,,Diesel,2007
HYUNDAI,H-1 9 SEATER GL MT,2600,M/BUS,2WD,,Diesel,2007
HYUNDAI,H-1 9 SEATER GL AT,2600,M/BUS,2WD,,Diesel,2007
HYUNDAI,H-1 12 SEATER GLS AT,2500,M/BUS,2WD,,Diesel,2007
HYUNDAI,H-1 LIIMOUSINE PREMIUM,2500,M/BUS,2WD,,Diesel,2007
HYUNDAI,H-100 CHASSIS GL MT,2600,P/UP,2WD,,Diesel,2007
HYUNDAI,H-100 SIDE DECK GL MT,2700,VAN,2WD,,Diesel,2007
HYUNDAI,H-100 CIT MINI TRUCK TDI CHASSIS,2400,Truck,2WD,,Diesel,2007
HYUNDAI,SANTA FE 4WD GL MANUAL,2400,S/WAGON,4WD,7,Petrol,2006
HYUNDAI,SANTA FE 4WD GL AUTO,2400,S/WAGON,4WD,7,Petrol,2006
HYUNDAI,SANTA FE 4WD GLS AUTO,2400,S/WAGON,4WD,7,Petrol,2006
HYUNDAI,SANTA FE 4WD PREMIUM,2400,S/WAGON,4WD,7,Petrol,2006
HYUNDAI,TUCSON,2000,S/WAGON,2WD,5,Petrol,2009
HYUNDAI,TUCSON,2000,S/WAGON,4WD,5,Petrol,2009
HYUNDAI,TUCSON,2400,S/WAGON,4WD,5,Petrol,2009
HYUNDAI,IX35,2000,S/WAGON,4WD,,Petrol,2015
HYUNDAI,Sonata GL AT,2000,S/WAGON,2WD,,Petrol,2010
HYUNDAI,Sonata GLS AT,2000,S/WAGON,2WD,,Petrol,2010
HYUNDAI,Sonata PREMIUM,2400,S/WAGON,2WD,,Petrol,2010
HYUNDAI,TERRACAN CDRI GL,2900,S/WAGON,2WD,,Diesel,2007
HYUNDAI,Trajet,2000,S/WAGON,2WD,,Petrol,2007
INFINITY,FX30D,2993,S/WAGON,AWD,,Diesel,2017
ISUZU,FRR 33L- CAB BUS LUXURY,8226,BUS,2WD,36,Diesel,Unknown
ISUZU,FRR 33L- CAB BUS SEMI LUXURY,8226,BUS,2WD,51,Diesel,Unknown
ISUZU,FRR 41 SEATER - LUXURY (SSA 1),8226,BUS,2WD,41,Diesel,Unknown
ISUZU,FSR 33H BUS CHASSIS,8226,BUS,2WD,,Diesel,Unknown
ISUZU,FSR 33H(LONG WHEEL BASE),8226,BUS,2WD,,Diesel,Unknown
ISUZU,Journey bus KK-SBVW41,4160,BUS,4x2,,Diesel,Unknown
ISUZU,MV 123 LWB,9839,BUS,4x2,67,Diesel,Unknown
ISUZU,MV 123 LWB BUS LUXURY,9839,BUS,4x2,48,Diesel,Unknown
ISUZU,MV 123 SWB,9839,BUS,4x2,62,Diesel,Unknown
ISUZU,MV 123 SWB BUS LUXURY,9839,BUS,4x2,44,Diesel,Unknown
ISUZU,NKR 66L SEMI-LUXURY,4334,BUS,2WD,26,Diesel,Unknown
ISUZU,NPR 66P,4334,BUS,2WD,29,Diesel,Unknown
ISUZU,NQR 28 Seater Bus Luxury (SSA 1),4334,BUS,2WD,28,Diesel,Unknown
ISUZU,NQR Bus Cruiser,4334,BUS,2WD,37,Diesel,Unknown
ISUZU,NQR 33 Seater Bus Semi Luxury,4334,BUS,2WD,33,Diesel,Unknown
ISUZU,NQR 66R COWL CAB BUS ONLY(0 RATED),4334,BUS,2WD,,Diesel,Unknown
ISUZU,FTS 33F,8226,TRK,4WD,,Diesel,Unknown
ISUZU,Damax-TFS 85 AUTO,3000,DOUBLE  CAB,4WD,,DIESEL,Unknown
ISUZU,Dmax-TFR 86 HR,2500,DOUBLE  CAB,2WD,,DIESEL,Unknown
ISUZU,Dmax-TFR 86 HR with carry body/cover,2500,DOUBLE  CAB,2WD,,DIESEL,Unknown
ISUZU,Dmax-TFS 85 MANUAL,3000,DOUBLE  CAB,4WD,,DIESEL,Unknown
ISUZU,Dmax-TFS 86 DELUX with carry body/cover,2500,DOUBLE  CAB,4WD,,DIESEL,Unknown
ISUZU,KB300 DC,2999,DOUBLE  CAB,2WD,,Diesel,2012
ISUZU,RODEO,2500,DOUBLE  CAB,4WD,,Diesel,2004
ISUZU,TFS 54 I-190 4X4 D/C,2500,DOUBLE  CAB,4x4,,Diesel,Unknown
ISUZU,TFS 54 I-190 4X4 D/C ACCESSORIZED,2500,DOUBLE  CAB,4x4,,Diesel,Unknown
ISUZU,TFS 77 D/C,2999,DOUBLE  CAB,4WD,,Diesel,Unknown
ISUZU,TFS 85 I-190 4X4 with carry body/cover,3000,DOUBLE  CAB,4WD,,DIESEL,Unknown
ISUZU,TX,5788,TRK,2WD,,Diesel,Unknown
ISUZU,EXZ 51,14256,PM,6X4,,Diesel,Unknown
ISUZU,PRIME MOVER,15600,PM,4WD,,Diesel,Unknown
ISUZU,TFR 30,2198,PU,2WD,,Petrol,Unknown
ISUZU,CRUZE,1800,SALOON,2WD,5,Petrol,2016
ISUZU,Dmax-TFR 86,2500,SCAB,2WD,,DIESEL,Unknown
ISUZU,Dmax-TFS 85 I-190 4X4 S/C,3000,SCAB,4WD,,DIESEL,Unknown
ISUZU,Dmax-TFS 86,2500,SCAB,4WD,,DIESEL,Unknown
ISUZU,KB250 SC/TFR 54H,2500,SCAB,2WD,,Diesel,2012
ISUZU,TFR 32 S/C I-190 4X2,2400,SCAB,4x2,,Petrol,Unknown
ISUZU,TFR 54 S/C I-190 4X2,2400,SCAB,4x2,,Diesel,Unknown
ISUZU,TFS 77 S/C,2999,SCAB,2WD,,Diesel,Unknown
ISUZU,TRAILBLAZER,2800,S/WAGON,4WD,7,Diesel,Unknown
ISUZU,BIGHORN/WIZARD/RODEO,2990,S/WAGON,4WD,,Diesel,1998
ISUZU,Trooper,3165,S/WAGON,4WD,,Petrol,2002
ISUZU,50LV/81LT,12000,TRK,2WD,,Diesel,Unknown
ISUZU,ELF NKR/NJR/NPR /NHR/NLR85,3000,TRK,2WD,,Diesel,Unknown
ISUZU,ELF NKR/NJR/NPR75,5190,TRK,2WD,,Diesel,Unknown
ISUZU,ELF NMR85,3000,TRK,4X2,,Diesel,Unknown
ISUZU,FRR 33LR-Body on,8226,TRK,2WD,,Diesel,Unknown
ISUZU,FRR 90,5200,TRK,4X2,,Diesel,Unknown
ISUZU,FSR 33H -Body on,8226,TRK,2WD,,Diesel,Unknown
ISUZU,FTS 33 H Body On,8226,TRK,4WD,,Diesel,Unknown
ISUZU,FVR 23M with body on,9839,TRK,6x2,,Diesel,Unknown
ISUZU,FVX 23S with the body on,9839,TRK,6x2,,Diesel,Unknown
ISUZU,FVZ 23M with body on,9839,TRK,6x2,,Diesel,Unknown
ISUZU,GIGA CXE77,9830,TRK,6x2,,Diesel,Unknown
ISUZU,NHR 55 Body on,2771,TRK,2WD,,Diesel,Unknown
ISUZU,NKR 66L BODY ON,4334,TRK,2WD,,Diesel,Unknown
ISUZU,NPR 66P,4334,TRK,2WD,,Diesel,Unknown
ISUZU,NQR 66R,4334,TRK,2WD,,Diesel,Unknown
ISUZU,NQR 70,4571,TRK,2WD,,Diesel,Unknown
ISUZU,COMO,2950,VAN,2WD,,Diesel,Unknown
IVECO,AT720T42TH,12880,PM,6X4,,Diesel,Unknown
IVECO,ML 140 E24WDEE TURBO,5880,TRK,4x4,,Diesel,Unknown
IVECO,ML 170 E21H TURBO,5861,TRK,4x2,,Diesel,Unknown
IVECO,ML 180E,5880,TRK,,,Diesel,Unknown
IVECO,ML 2111 Turbo,5861,TRK,,,Diesel,Unknown
IVECO,MP380 E 37H/IP/MOVER,13798,TRK,6X4,,Diesel,Unknown
IVECO,MP70 E IVECO,13798,TRK,6X4,,Diesel,Unknown
IVECO,MP720,13793,TRK,2WD,,Diesel,Unknown
