,,,,,,,Discontinuation_Year
MAKE,Model,Engine Capacity,Body Type ,Drive configuration,seating,Fuel,Discontinuation_Year
BMW,130i N52 UD51 UD52,3000,SALOON,2WD,,Petrol,2013
BMW,130i N52 UB11 UB12,3000,SALOON,2WD,,Petrol,2011
BMW,135i N55 UN71 UN72,3500,SALOON,2WD,,Petrol,2013
BMW,135i N54 UC71 UC72,3500,SALOON,2WD,,Petrol,2010
BMW,316i E90 LIM N45 PF11 PF12,1800,SALOON,2WD,,Petrol,2012
BMW,316i F30,1800,SALOON,2WD,,Petrol,2018
BMW,318i N46 PF71 PF72 Auto,1995,SALOON,2WD,,Petrol,2012
BMW,318i N46 PF71 PF72 Manual,1996,SALOON,2WD,,Petrol,2012
BMW,320d,1995,SALOON,2WD,,Diesel,2018
BMW,320d N47 KK11 KK12,1995,SALOON,2WD,,Diesel,2011
BMW,320ed,1995,SALOON,2WD,,Diesel,2018
BMW,320i E93 CAB N46 DV31 DV32 CONVERTIBLE,1995,Coupe,2WD,,Petrol,2013
BMW,320i E92 COU N46 KD51 KD52,1995,Coupe,2WD,,Petrol,2013
BMW,320i E90 N46,1995,SALOON,2WD,,Petrol,2012
BMW,320i E90 N46,2170,SALOON,2WD,,Petrol,2012
BMW,320i F30,1995,SALOON,2WD,,Petrol,2018
BMW,320d F30,1995,SALOON,2WD,,Diesel,2018
BMW,325i manual,2497,SALOON,2WD,,Petrol,2011
BMW,325i auto,2500,SALOON,2WD,,Petrol,2011
BMW,325i N52 DW11 DW32,2500,SALOON,2WD,,Petrol,2011
BMW,325i N52 KE31 KE32,2500,SALOON,2WD,,Petrol,2011
BMW,325i N52 PH11 PH12,2500,SALOON,2WD,,Petrol,2011
BMW,325i N53 CONVERTIBLE,3000,SALOON,2WD,,Petrol,2013
BMW,330i  N52 DX31 DX32,2967,SALOON,2WD,,Petrol,2012
BMW,330i  N52 KG31 KG32,2967,SALOON,2WD,,Petrol,2012
BMW,330i  N52 PM31 PM32,2967,SALOON,2WD,,Petrol,2012
BMW,330d,2967,SALOON,2WD,,Diesel,2012
BMW,330d N57 KK71 KK72,2967,SALOON,2WD,,Diesel,2011
BMW,330 ci Convertible,2970,Coupe,2WD,,Petrol,2013
BMW,335i N55 DX71 DX72,3500,SALOON,2WD,,Petrol,2012
BMW,335i N54 KG71 KG72,3500,SALOON,2WD,,Petrol,2010
BMW,335i N54 PM51 PM52,3500,SALOON,2WD,,Petrol,2012
BMW,M3 E90,3000,SALOON,2WD,,Petrol,2013
BMW,520i N20 XG11 XG12,2000,SALOON,2WD,,Petrol,2017
BMW,520D N47 FW11/12,2000,SALOON,2WD,,Diesel,2010
BMW,520D N47 XA31/32,2000,SALOON,2WD,,Diesel,2010
BMW,520i F10,2000,SALOON,2WD,,Petrol,2017
BMW,523i,2300,SALOON,2WD,,Petrol,2010
BMW,525i manual,2497,SALOON,2WD,,Petrol,2010
BMW,525i auto,2498,SALOON,2WD,,Petrol,2010
BMW,525d N47 XA11,2498,SALOON,2WD,,Diesel,2010
BMW,528i N20 XG31 XG32,2800,SALOON,2WD,,Petrol,2017
BMW,528d N20 XG31 XG32,2800,SALOON,2WD,,Diesel,2017
BMW,530i N52 FR11/12,3000,SALOON,2WD,,Petrol,2010
BMW,530d N57 XA51/52,3000,SALOON,2WD,,Petrol,2010
BMW,530d N57 FV31,3000,SALOON,2WD,,Petrol,2010
BMW,535i N55 FR71 FR72,3500,SALOON,2WD,,Petrol,2016
BMW,535i Xdrive N55 FU71,3500,SALOON,2WD,,Petrol,2016
